,,,,
,,,,
,RETAILER NAME ,REFERENCE SIM,TELEPHONE,IP ADRESSE
,LONLON WELLNESS,8922801052142363521F,,
,HAPPY LIFE 2,8922801052142363836F,,
,HAPPY LIFE 3,8922801052142362937F,,
,Hôtel PAVILLON,8922801052142363653F,,
,PHARMACIE DES ETOILES,8922801052024864463F,,
,PHARMACIE VITALIS,8922801052024864174F,,
,HAPPY LIFE 1,8922801052024864182F,,
,NASCO TRADING TOKOIN SOTED,8922801052024864190F,,
,LE PETIT BRUSSEL(BAR),8922801052024864216F,,
,O COIN BBQ,8922801052024864224F,,
,ICED LONDON 228,8922801052024864406F,,
,CABINET MEDICAL COEUR DE GRACE,8922801052024864299F,,
,HOTEL SAINTE BRIGITTE,8922801052024864240F,,
,GROUPE LE VELOUTE,8922801052024864257F,,
,HOTEL MEKA 1,8922801092156701604F,,
,HOTEL MEKA 2,8922801052142363646F,,
,LUXE OPTIQUE,8922801052024864380,,
,ESKAPAD DU CHEF,8922801052024864364F,,
,HARMONY ANDY SHOP (ANDY'S HAIR NYEKONAKPOE),8922801052024864398F,,
,PHARMACIE BON SECOUR,8922801052024864166,,
,EFAGE SHOP,8922801052024864513F,,
,LAFRIKLUB,8922801052024864307F,,
,PHARMACIE DE L ACITE,8922801052024864323,,
,PHARMACIE DE LA PROVIDENCE,8922801052024864489F,,
,ECOLE LA MADONE,8922801052024864455F,,
,ECOLE LA MADONE,8922801052024864331F,,
,SOBIREX,8922801052024864356F,,
,RESIDENCE HOTELIERE LAURIA,8922801052024864448F,,
,RESIDENCE HOTELIERE LAURIA,8922801052024864547F,,
,RAMCO LG SHOP TOKOIN,8922801052024864653F,,
,PHARMACIE AVE MARIA,8922801052024864349F,,
,ETS AMEDOME,8922801052024864604F,,
,CABINET MEDICAL SPECIALISE SANTE 24,8922801052024864521F,,
,PHARMACIE AVEPOZO,8922801052024864471F,,
,PROJEA ET FILS,8922801052024864505F,,
,MA BOUTIQUE DECO,8922801052024864612F,,
,PHARMACIE DE LUNION,8922801042390706828F,,
,PHARMACIE 2000,8922801052142363604F,,
,MOMO GLOBAL INVESTMENT,8922801052026929017F,,
,CLINIQUE BIASA,8922801071916079287F,,
,ICONA EYEWEAR,8922801052024864497F,,
,RESTAURANT MASTER CHEF,8922801052024923202f,,
,SANOL AVEDJI,8922801052142363646F,,
,SANOL ADIDOADIN,8922801041458905355,,
,SANOL FILO PARC,8922801041458908730,,
,SANOL WONYOME,8922801042390706935F,,
,SANOL DEMAKPOE,8922801041458908615,,
,SANOL SAGBADO,8922801041458908565,,
,OPERA LEGBASSITO,8922801052024864562F,,
,OPERA LEGBASSITO,8922801052024864430F,,
,OPERA AVEDJI,8922801052024864554F,,
,OPERA AVEDJI,8922801052024864596F,,
,PHARMACIE LA VIE,8922801092156701513F,,
,THE PARADISE VIP,8922801052024864570F,,
,I S ATMOSPHERE,8922801052024864620F,,
,I S LA CIVETTE,8922801052024864638F,,
,OPTIC EDEN,8922801052024923459F,,
,PHARMACIE MIDJODJI,8922801092156701521F,,
,PHARMACIE LA REFERENCE,8922801042388860000F,,
,KOFFENA TOTSI,8922801092153870642F,,
,CHEZ CHRIST,8922801092153870741F,,
,LE MADRIGAL,8922801092153871715F,,
,LE MADRIGAL,8922801092153870725F,,
,DISTINCTION BY ABS ADIDOADIN,8922801092153870550F,,
,RESIDENCE HOTELIERE LAURIA,8922801092153871723F,,
,RESTAURANT PICASSO,8922801092153870758F,,
,MOOV AFRICA TG HANOUKOPE,8922801092153871533F,,
,MOOV AFRICA PRIVILEGE,8922801092153870584F,,
,MOOV AFRICA AEROPORT,8922801092153871558F,,
,MOOV AFRICA TG AGOE,8922801092153871681F,,
,MOOV AFRICA ADIDOGOME,8922801092153871657,,
,TOGOCOM ASSIVITO,8922801092153871517F,,
,BAR LA FEKANDINE,8922801092153870519F,,
,BAR LA FEKANDINE,8922801092153870592F,,
,HOTSI DESIGN,8922801092153871608F,,
,TOGOCOM AEROPORT,8922801092153870626F,,
,CLINIQUE RABOUNI-EFFATA,8922801092153871590F,,
,LA TABLE D'AHOE,8922801092153871582F,,
,GARAGE LA REVELATION,8922801092153870667f,,
,GARAGE WINNER'S SHOP,8922801092153871632F,,
,LA GRACE NINO,8922801092153870717F,,
,JEWELS PARTENER SHIP,8922801092153870709F,,
,CONTES DE FEES,8922801092153870527F,,
,KA-TECHNOLOGIE,8922801092153870683F,,
,CLINIQUE LA BONTE,8922801092153871541F,,
,SANOL KPOGAN,8922801092153871574f,,
,PARADISE HOTEL,8922801092153871566F,,
,PHARMACIE DU NOUVEAU MARCHE,8922801092156701265F,,
,DOLCE PLAZZA,8922801092153870600F,,
,DOLCE PLAZZA,8922801092153870659F,,
,COLORIS WUITI,8922801092153871731F,,
,COLORIS AGBALEPEDO,8922801092153870618F,,
,ALLIANCE TOGO INFORMATIQUE,8922801092153870535F,,
,ANNE LA GRACIEUSE,8922801092153870543F,,
,CHAMPBELL SARL,8922801092153870733F,,
,CHAMPBELL DUTY FREE SHOP,8922801092153871749F,,
,MABELLE DESIGN BE,8922801042388861569F,,
,MABELLE DESIGN AGOE ,8922801092153871665F,,
,MABELLE DESIGN NYEKONAKPOE,8922801102391099654F,,
,MORIJA ROOM CLUB,8922801042388878589F,,
,CLINIQUE LA HARPE DE DAVID,8922801052024923285F,,
,HOLLY SHOP,8922801052026928985F,,
,BLESSING BODY,8922801092156701547F,,
,STANDARD FOODS TOTSI,8922801052024923277F,,
,STANDARD FOODS RPP,8922801092153871673F,,
,STANDARD FOODS ASSIVITO,8922801092153871707F,,
,STANDARD FOODS TOTAL BTCI,8922801092153871525F,,
,STANDARD FOODS KLIKAME,8922801092153871699F,,
,STANDARD FOODS AVEDJI,8922801092156701653F,,
,Hôtel ROYAUME FAUSTINA,8922801092156701539F,,
,JAH,8922801092156700838F,,
,7 SPICE,8922801092156701745F,,
,NUNANA GIFTS,8922801092156701729,,
,CERCLE DES ETOILES,8922801092156701711F,,
,CARMEL SEPOPO,8922801092156701737F,,
,LE CERCLE DEKON,8922801092156701752F,,
,CHAMPION AGBALEPEDO,8922801092156701687F,,
,CHAMPION AGBALEPEDO,8922801092156701703F,,
,CHAMPION AGBALEPEDO,8922801092156701695F,,
,PHARMACIE HYGEA,8922801092156701596f,,
,GMK,8922801092156701497F,,
,MONTECRISTO DISCOTHEQUE,8922801092156701570F,,
,MONTECRISTO DISCOTHEQUE,8922801092156701588F,,
,ARNOLDI ESPACE TOKOIN SOTED,8922801092156701554F,,
,RAMCO SA LG SHOPPE MILLENIUM,8922801092156701018F,,
,RAMCO SA DESI ROOF,8922801092156701307F,,
,RAMCO SA MAHARAJA,8922801092156701307F,,
,NGT ASSIGAME,8922801092156701455F,,
,NGN AEROPORT,8922801092156701034F,,
,HOTEL MALAIKA,8922801052024923434F,,
,NOUFALY SARL,8922801092156700952F,,
,K-WOLD BOUTIQUE,8922801092156701141F,,
,GROUPE RESEAU SOLEIL,8922801092156701364F,,
,PHARMACIE APOLLON,8922801092156701356F,,
,UNI COS ADIDOADIN,8922801092156700812F,,
,UNI-COS ADAKPAME,8922801092156701661F,,
,UNI-COS BE,8922801092156700903F,,
,UNICOS AVEPOZO,8922801092156701349F,,
,UNICOS WONYOME,8922801092156700911F,,
,UNI-COS HEDZRANAWOE,8922801092156701315F,,
,PHARMACIE SAINTE MARIE,8922801092156701323F,,
,AZ TEXTILE,8922801092156700895F,,
,EXPRESSIA HOLDING,8922801092156700994F,,
,STE AMBO SARL,8922801092156701463F,,
,CABINET MEDICAL ELITE,8922801092156701109F,,
,MDEY,8922801092156753647F,,
,CABINET DENTAIRE LE SOURIRE,8922801052024864232f,,
,SILA GROUP,8922801092156754702,,
,BLACK FASHION HANOUKOPE,8922801092156701232F,,
,LA PETITE EPICERIE,8922801092156701299F,,
,LA HUQQA,8922801092156700853F,,
,ATIKO TRAVELS,8922801092156701133F,,
,CELI FASHION,8922801002391099563F,,
,CHAMPION KARA,8922801042388878266F,,
,CHAMPION KARA,8922801042388878142F,,
,ATIKO TRAVELS AVEDJI,8922801092156700770F,,
,CLINIQUE ISIS,8922801102391099464F,,
,AURICA TRAVEL SERVICES,8922801092156701505F,,
,DEARS,8922801092156700762F,,
,HOTEL YABISSO,8922801092156701448F,,
,CHILDRENS PLACE BY KATOUCHA,8922801092156701067F,,
,MAISON DES JOUETS,8922801092156701372F,,
,HARMONIE CONCEPT,8922801092156700978F,,
,GALERIE COIN DU TRESOR,8922801092156700820,,
,GALERIE CONFORTIUM,8922801042390706695F,,
,LAT SHOP,8922801092156701380F,,
,CHIC AHMED,8922801092156701331F,,
,AUREL K ,8922801092156701059,,
,MR SHISHA,8922801092156701406F,,
,BUENA VISTA,8922801052026928720,,
,ECOFARM,8922801092156701083F,,
,OMED VOYAGE,8922801092156753811F,,
,CLUB 21,8922801052026928811f,,
,HOUSE OF J J HANOUKOPE,8922801052026928670F,,
,HOUSE OF J J AGBALEPEDO,8922801052026928746F,,
,WSM FASHION,8922801052024923426F,,
,SIGNATURE BAR RESTAURANT,8922801052026929108F,,
,IRON MAN SUPPLEMENTS,8922801052026929124F,,
,FASHION PREMIUM,8922801092156753803F,,
,FELTON SHOP,8922801052026928787F,,
,ARTNEGRA 2 FEVRIER,8922801052026928878F,,
,BAMBINI,8922801092156755147F,,
,JOYCE KA,8922801052026928928F,,
,ETS COFITEL,8922801041458905207,,
,CHANAN SEGBE,8922801092156754884F,,
,DORIGINE PARFUMERIE,8922801092153871756F,,
,INSTITUT AMEN DESIGN,8922801092156754744F,,
,MAGNILIM,8922801052024923263F,,
,BURGER FABRIC,8922801052026928910F,,
,LES TONTONS SARL 1,8922801052142363752F,,
,OMNICEL,8922801092156753779f,,
,AC-D,8922801092156754900F,,
,CLINIQUE PENIEL,8922801092156753753F,,
,ETS BJ,8922801092156755162F,,
,ENERGIUM (BJ MISERICORDIA),8922801092156754892F,,
,ETS ALBARKA ONE,8922801092156753621F,,
,KIDS HOUSE BY DYANA GBOSSIME,8922801092156753787F,,
,QLS PHARM-A-PEAU,8922801092156753456F,,
,TOP PHONE,8922801092156753563F,,
,CLE-AM EN DIEU,8922801092156753712F,,
,GYMBOREE,8922801092156753704F,,
,REIMAIS,8922801092156753654F,,
,PHARMACIE CONSEILS SAGBADO,8922801092156753506F,,
,OORA AVEDJI,8922801092156753399F,,
,EVER QUEENS HAIR ETS,8922801092156755139F,,
,L'ESCALE AFRICAINE,8922801092156754686F,,
,MELS ET FRERES,8922801092156754942F,,
,CARMEN DANSE,8922801042388861577F,,
,AUX GRANDS SHOES DE GLO,8922801092156754710F,,
,KIDS PLANET,8922801092156754728F,,
,ELECTRO WORLD,8922801092156754642F,,
,MORIJA SEDINA,8922801092156754835f,,
,LA DIFFERENCE EST LELEGANCE,8922801092156754637F,,
,SKYLARK,8922801052024923111F,,
,NOMADS,8922801092156754949F,,
,AZIZ SHOP SPORT CAMPING,8922801092156755097F,,
,AMERICAN OUTLET,8922801092156754876,,
,ELECTRO-WORLD TOKOIN,8922801092156755170F,,
,CLINIQUE SUR LE ROC,8922801092156753670F,,
,CARL-MAX,8922801092156753522F,,
,ATFA,8922801092156755055,,
,NAIMS,8922801092156755014F,,
,DIEU EST AMOUR,8922801092156753597F,,
,CAFE LOFT,8922801102391099498F,,
,BEFORE AND AFTER,8922801092156753514F,,
,BULLE DE SIKA,8922801042388861536F,,
,COCO,8922801092156754868F,,
,COMPUTER PLUS,8922801092156753688F,,
